,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
0,1/1/20,Northeast,New York,New York,Men's Street Footwear,50.0,1200.0,600000.0,300000.0,In-store
1,1/2/20,Northeast,New York,New York,Men's Athletic Footwear,50.0,1000.0,500000.0,150000.0,In-store
2,1/3/20,Northeast,New York,New York,Women's Street Footwear,40.0,1000.0,400000.0,140000.0,In-store
3,1/4/20,Northeast,New York,New York,Women's Athletic Footwear,45.0,850.0,382500.0,133875.0,In-store
4,1/5/20,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000.0,162000.0,In-store
5,1/6/20,Northeast,New York,New York,Women's Apparel,50.0,1000.0,500000.0,125000.0,In-store
6,1/7/20,Northeast,New York,New York,Men's Street Footwear,50.0,1250.0,625000.0,312500.0,In-store
7,1/8/20,Northeast,New York,New York,Men's Athletic Footwear,50.0,900.0,450000.0,135000.0,Outlet
8,1/21/20,Northeast,New York,New York,Women's Street Footwear,40.0,950.0,380000.0,133000.0,Outlet
9,1/22/20,Northeast,New York,New York,Women's Athletic Footwear,45.0,825.0,371250.0,129938.0,Outlet
10,1/23/20,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000.0,162000.0,Outlet
11,1/24/20,Northeast,New York,New York,Women's Apparel,50.0,1000.0,500000.0,125000.0,Outlet
12,1/25/20,Northeast,New York,New York,Men's Street Footwear,50.0,1220.0,610000.0,305000.0,Outlet
13,1/26/20,Northeast,New York,New York,Men's Athletic Footwear,50.0,925.0,462500.0,138750.0,Outlet
14,1/27/20,Northeast,New York,New York,Women's Street Footwear,40.0,950.0,380000.0,133000.0,Outlet
15,1/28/20,Northeast,New York,New York,Women's Athletic Footwear,45.0,800.0,360000.0,126000.0,Outlet
16,1/29/20,Northeast,New York,New York,Men's Apparel,60.0,850.0,510000.0,153000.0,Outlet
17,1/30/20,Northeast,New York,New York,Women's Apparel,50.0,950.0,475000.0,118750.0,Outlet
18,1/31/20,Northeast,New York,New York,Men's Street Footwear,50.0,1200.0,600000.0,300000.0,Outlet
19,2/1/20,Northeast,New York,New York,Men's Athletic Footwear,50.0,900.0,450000.0,135000.0,Outlet
20,2/2/20,Northeast,New York,New York,Women's Street Footwear,40.0,900.0,360000.0,126000.0,Outlet
21,2/3/20,Northeast,New York,New York,Women's Athletic Footwear,45.0,825.0,371250.0,129938.0,Outlet
22,2/4/20,Northeast,New York,New York,Men's Apparel,60.0,825.0,495000.0,148500.0,Outlet
23,2/5/20,Northeast,New York,New York,Women's Apparel,50.0,950.0,475000.0,118750.0,Outlet
24,2/6/20,Northeast,New York,New York,Men's Street Footwear,60.0,1220.0,732000.0,366000.0,Outlet
25,2/7/20,Northeast,New York,New York,Men's Athletic Footwear,55.0,925.0,508750.0,152625.0,Outlet
26,2/8/20,Northeast,New York,New York,Women's Street Footwear,50.0,900.0,450000.0,157500.0,Outlet
