,Price per Unit,Units Sold,Total Sales,Operating Profit,clusters
0,50.0,1200.0,600000.0,300000.0,1
1,50.0,1000.0,500000.0,150000.0,1
2,40.0,1000.0,400000.0,140000.0,1
3,45.0,850.0,382500.0,133875.0,1
4,60.0,900.0,540000.0,162000.0,1
5,50.0,1000.0,500000.0,125000.0,1
6,50.0,1250.0,625000.0,312500.0,1
7,50.0,900.0,450000.0,135000.0,1
8,40.0,950.0,380000.0,133000.0,1
9,45.0,825.0,371250.0,129938.0,1
10,60.0,900.0,540000.0,162000.0,1
11,50.0,1000.0,500000.0,125000.0,1
12,50.0,1220.0,610000.0,305000.0,1
13,50.0,925.0,462500.0,138750.0,1
14,40.0,950.0,380000.0,133000.0,1
15,45.0,800.0,360000.0,126000.0,1
16,60.0,850.0,510000.0,153000.0,1
17,50.0,950.0,475000.0,118750.0,1
18,50.0,1200.0,600000.0,300000.0,1
19,50.0,900.0,450000.0,135000.0,1
20,40.0,900.0,360000.0,126000.0,1
21,45.0,825.0,371250.0,129938.0,1
22,60.0,825.0,495000.0,148500.0,1
23,50.0,950.0,475000.0,118750.0,1
24,60.0,1220.0,732000.0,366000.0,1
25,55.0,925.0,508750.0,152625.0,1
26,50.0,900.0,450000.0,157500.0,1
27,50.0,850.0,425000.0,148750.0,1
28,60.0,875.0,525000.0,157500.0,1
29,65.0,1000.0,650000.0,162500.0,1
30,60.0,1250.0,750000.0,375000.0,1
31,55.0,1000.0,550000.0,165000.0,1
32,50.0,925.0,462500.0,161875.0,1
33,50.0,900.0,450000.0,157500.0,1
34,60.0,900.0,540000.0,162000.0,1
35,65.0,1050.0,682500.0,170625.0,1
36,60.0,1275.0,765000.0,382500.0,1
37,55.0,1025.0,563750.0,169125.0,1
38,50.0,950.0,475000.0,166250.0,1
39,50.0,900.0,450000.0,157500.0,1
40,60.0,925.0,555000.0,166500.0,1
41,65.0,1100.0,715000.0,178750.0,1
42,60.0,1250.0,750000.0,375000.0,1
43,55.0,1025.0,563750.0,169125.0,1
44,50.0,950.0,475000.0,166250.0,1
45,50.0,925.0,462500.0,161875.0,1
46,60.0,900.0,540000.0,162000.0,1
47,65.0,1075.0,698750.0,174688.0,1
48,60.0,1200.0,720000.0,360000.0,1
49,55.0,1000.0,550000.0,165000.0,1
50,50.0,925.0,462500.0,161875.0,1
51,50.0,900.0,450000.0,157500.0,1
52,60.0,900.0,540000.0,162000.0,1
53,65.0,1000.0,650000.0,162500.0,1
54,65.0,875.0,568750.0,170625.0,1
55,70.0,1000.0,700000.0,175000.0,1
56,65.0,1150.0,747500.0,373750.0,1
57,55.0,975.0,536250.0,160875.0,1
58,55.0,920.0,506000.0,177100.0,1
59,55.0,900.0,495000.0,173250.0,1
60,65.0,875.0,568750.0,170625.0,1
61,70.0,975.0,682500.0,170625.0,1
62,65.0,1200.0,780000.0,390000.0,1
63,55.0,1000.0,550000.0,165000.0,1
64,55.0,950.0,522500.0,182875.0,1
65,55.0,900.0,495000.0,173250.0,1
66,65.0,900.0,585000.0,175500.0,1
67,70.0,1000.0,700000.0,175000.0,1
68,25.0,900.0,225000.0,78750.0,2
69,35.0,900.0,315000.0,110250.0,2
70,35.0,700.0,245000.0,85750.0,2
71,35.0,700.0,245000.0,110250.0,2
72,40.0,550.0,220000.0,66000.0,2
73,35.0,700.0,245000.0,122500.0,2
74,25.0,850.0,212500.0,74375.0,2
75,35.0,850.0,297500.0,104125.0,2
76,35.0,675.0,236250.0,82688.0,2
77,35.0,625.0,218750.0,98438.0,2
78,40.0,500.0,200000.0,60000.0,2
79,35.0,700.0,245000.0,122500.0,2
80,30.0,875.0,262500.0,91875.0,2
81,40.0,875.0,350000.0,122500.0,1
82,35.0,700.0,245000.0,85750.0,2
83,40.0,600.0,240000.0,108000.0,2
84,45.0,500.0,225000.0,67500.0,2
85,40.0,650.0,260000.0,130000.0,2
86,30.0,900.0,270000.0,94500.0,2
87,40.0,900.0,360000.0,126000.0,1
88,35.0,725.0,253750.0,88813.0,2
89,40.0,625.0,250000.0,112500.0,2
90,45.0,525.0,236250.0,70875.0,2
91,40.0,800.0,320000.0,160000.0,1
92,30.0,925.0,277500.0,97125.0,2
93,40.0,925.0,370000.0,129500.0,1
94,35.0,775.0,271250.0,94938.0,2
95,40.0,700.0,280000.0,126000.0,2
96,45.0,600.0,270000.0,81000.0,2
97,40.0,950.0,380000.0,190000.0,1
98,40.0,950.0,380000.0,133000.0,1
99,45.0,950.0,427500.0,149625.0,1
100,40.0,800.0,320000.0,112000.0,2
101,40.0,750.0,300000.0,135000.0,2
102,45.0,650.0,292500.0,87750.0,2
103,50.0,1000.0,500000.0,250000.0,1
104,40.0,950.0,380000.0,133000.0,1
105,45.0,950.0,427500.0,149625.0,1
106,40.0,1100.0,440000.0,154000.0,1
107,40.0,700.0,280000.0,126000.0,2
108,45.0,700.0,315000.0,94500.0,2
109,50.0,975.0,487500.0,243750.0,1
110,40.0,925.0,370000.0,129500.0,1
111,45.0,925.0,416250.0,145688.0,1
112,40.0,1100.0,440000.0,154000.0,1
113,40.0,650.0,260000.0,117000.0,2
114,45.0,650.0,292500.0,87750.0,2
115,50.0,900.0,450000.0,225000.0,1
116,45.0,850.0,382500.0,133875.0,1
117,45.0,850.0,382500.0,133875.0,1
118,50.0,900.0,450000.0,157500.0,1
119,50.0,625.0,312500.0,140625.0,2
120,45.0,625.0,281250.0,84375.0,2
121,55.0,850.0,467500.0,233750.0,1
122,45.0,800.0,360000.0,126000.0,1
123,45.0,800.0,360000.0,126000.0,1
124,50.0,750.0,375000.0,131250.0,1
125,50.0,600.0,300000.0,135000.0,2
126,45.0,575.0,258750.0,77625.0,2
127,55.0,750.0,412500.0,206250.0,1
128,45.0,900.0,405000.0,141750.0,1
